央视频CCTV,#genre#
41 三十而已,https://www.litv.tv/channel/watch/litv-vchannel41
42 TVBS歡樂台,https://www.litv.tv/channel/watch/4gtv-4gtv068
43 東森購物1台,https://www.litv.tv/channel/watch/4gtv-4gtv102
44 民視影劇台,https://www.litv.tv/channel/watch/litv-ftv09
45 龍華偶像台,https://www.litv.tv/channel/watch/litv-longturn12
46 龍華日韓台,https://www.litv.tv/channel/watch/litv-longturn11
47 Yes娛樂,https://www.litv.tv/channel/watch/litv-vchannel47
48 Focus風采戲劇台,https://www.litv.tv/channel/watch/litv-playout951
49 東森購物2台,https://www.litv.tv/channel/watch/4gtv-4gtv103
50 掏掏新聞,https://www.litv.tv/channel/watch/litv-playout50
51 東森新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv152
52 華視新聞,https://www.litv.tv/channel/watch/4gtv-4gtv052
53 民視新聞台,https://www.litv.tv/channel/watch/litv-ftv13
54 三立新聞iNEWS,https://www.litv.tv/channel/watch/iNEWS
55 TVBS新聞,https://www.litv.tv/channel/watch/4gtv-4gtv072
56 TVBS,https://www.litv.tv/channel/watch/4gtv-4gtv073
57 東森財經新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv153
58 非凡新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv010
59 台視新聞,https://www.litv.tv/channel/watch/4gtv-4gtv051
60 中視新聞,https://www.litv.tv/channel/watch/4gtv-4gtv074
61 中天新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv009
62 寰宇新聞台灣台,https://www.litv.tv/channel/watch/litv-longturn15
63 寰宇新聞台,https://www.litv.tv/channel/watch/litv-longturn14
64 龍華經典台,https://www.litv.tv/channel/watch/litv-longturn21
65 FOCUS焦點電影台,https://www.litv.tv/channel/watch/litv-vchannel65
66 媽媽好神之俗女家務事,https://www.litv.tv/channel/watch/litv-vchannel66
67 楚喬傳,https://www.litv.tv/channel/watch/litv-vchannel67
68 影迷數位電影台,https://www.litv.tv/channel/watch/4gtv-4gtv011
69 CATCHPLAY電影台,https://www.litv.tv/channel/watch/4gtv-4gtv076
70 Golden Movies,https://www.litv.tv/channel/watch/litv-vchannel70
71 龍華電影台,https://www.litv.tv/channel/watch/litv-longturn03
72 靖天電影台,https://www.litv.tv/channel/watch/4gtv-4gtv061
73 靖天映畫,https://www.litv.tv/channel/watch/4gtv-4gtv055
74 芈月傳,https://www.litv.tv/channel/watch/litv-vchannel74
75 Golden影迷台,https://www.litv.tv/channel/watch/litv-vchannel75
76 中影電影院,https://www.litv.tv/channel/watch/litv-vchannel76
77 博斯高球台,https://www.litv.tv/channel/watch/litv-longturn05
78 博斯高球二台,https://www.litv.tv/channel/watch/litv-longturn06
79 博斯運動一台,https://www.litv.tv/channel/watch/litv-longturn07
80 博斯無限台,https://www.litv.tv/channel/watch/litv-longturn10
81 博斯網球台,https://www.litv.tv/channel/watch/litv-longturn09
82 博斯運動二台,https://www.litv.tv/channel/watch/litv-longturn08
83 博斯魅力台,https://www.litv.tv/channel/watch/litv-longturn04
84 博斯無限二台,https://www.litv.tv/channel/watch/litv-longturn13
85 綜藝新時代,https://www.litv.tv/channel/watch/litv-vchannel85
86 贅婿,https://www.litv.tv/channel/watch/litv-vchannel86
87 東森購物快閃台,https://www.litv.tv/channel/watch/litv-vchannel87
88 第1財經,https://www.litv.tv/channel/watch/litv-vchannel88
89 非凡商業台,https://www.litv.tv/channel/watch/4gtv-4gtv048
90 台視財經,https://www.litv.tv/channel/watch/4gtv-4gtv056
91 寰宇財經台,https://www.litv.tv/channel/watch/litv-longturn23
92 法眼黑與白,https://www.litv.tv/channel/watch/litv-vchannel92
93 以愛為營,https://www.litv.tv/channel/watch/litv-vchannel93
94 豬哥壹級棒,https://www.litv.tv/channel/watch/litv-vchannel94
95 食尚玩家-熱血48小時,https://www.litv.tv/channel/watch/litv-vchannel95
96 一字千金(6~8季),https://www.litv.tv/channel/watch/litv-vchannel96
97 一字千金(1~5季),https://www.litv.tv/channel/watch/litv-vchannel97
98 我們這一家,https://www.litv.tv/channel/watch/litv-vchannel98
99 銀髮聚樂部,https://www.litv.tv/channel/watch/litv-vchannel99
100 蠟筆小新台,https://www.litv.tv/channel/watch/litv-vchannel100
101 南風知我意,https://www.litv.tv/channel/watch/litv-vchannel101
102 豬哥亮歌廳秀,https://www.litv.tv/channel/watch/4gtv-4gtv006
103 我們的翻譯官,https://www.litv.tv/channel/watch/litv-vchannel103
104 青囊傳,https://www.litv.tv/channel/watch/litv-vchannel104
105 流光之下,https://www.litv.tv/channel/watch/litv-vchannel105
106 愛的厘米,https://www.litv.tv/channel/watch/litv-vchannel106
107 粉紅色口紅,https://www.litv.tv/channel/watch/litv-vchannel107
108 19層,https://www.litv.tv/channel/watch/litv-vchannel108
109 金庸武俠台,https://www.litv.tv/channel/watch/litv-vchannel109
110 倚天屠龍記 2019,https://www.litv.tv/channel/watch/litv-vchannel110
111 紳士與小姐(國語配音),https://www.litv.tv/channel/watch/litv-vchannel111
112 對你不止是喜歡,https://www.litv.tv/channel/watch/litv-vchannel112
113 做自己的光,https://www.litv.tv/channel/watch/litv-vchannel113
114 村裡來了個暴走女外科,https://www.litv.tv/channel/watch/litv-vchannel114
115 秘密的男人(國語配音),https://www.litv.tv/channel/watch/litv-vchannel115
117 愛情來了(國語配音),https://www.litv.tv/channel/watch/litv-vchannel117
118 媽媽要出嫁(國語配音),https://www.litv.tv/channel/watch/litv-vchannel118
119 白夜童話(國語配音),https://www.litv.tv/channel/watch/litv-vchannel119
120 善德女王(國語配音),https://www.litv.tv/channel/watch/litv-vchannel120
121 天才衝衝衝,https://www.litv.tv/channel/watch/litv-vchannel121
123 食尚玩家-魚肉鄉民,https://www.litv.tv/channel/watch/litv-vchannel123
124 溢遊未盡,https://www.litv.tv/channel/watch/litv-vchannel124
125 看板人物,https://www.litv.tv/channel/watch/litv-vchannel125
126 食尚玩家-就要醬玩,https://www.litv.tv/channel/watch/litv-vchannel126
127 威廉沈歡樂送,https://www.litv.tv/channel/watch/litv-vchannel127
128 一步一腳印 發現新台灣,https://www.litv.tv/channel/watch/litv-vchannel128
129 食尚玩家-2天1夜go,https://www.litv.tv/channel/watch/litv-vchannel129
130 文茜的世界周報,https://www.litv.tv/channel/watch/litv-vchannel130
131 文茜的世界財經周報,https://www.litv.tv/channel/watch/litv-vchannel131
132 寰宇全視界,https://www.litv.tv/channel/watch/litv-vchannel132
133 頭條開講,https://www.litv.tv/channel/watch/litv-vchannel133
134 大新聞大爆卦,https://www.litv.tv/channel/watch/litv-vchannel134
135 新聞大白話,https://www.litv.tv/channel/watch/litv-vchannel135
136 國民大會,https://www.litv.tv/channel/watch/litv-vchannel136
137 少康戰情室,https://www.litv.tv/channel/watch/litv-vchannel137
138 台灣戲劇台,https://www.litv.tv/channel/watch/litv-longturn22
139 視納華仁紀實頻道,https://www.litv.tv/channel/watch/4gtv-4gtv013
141 佳映娛樂,https://www.litv.tv/channel/watch/litv-vchannel141
142 Focus亞洲電影台,https://www.litv.tv/channel/watch/litv-vchannel142
143 華語電影台,https://www.litv.tv/channel/watch/litv-vchannel143
144 Focus精采戲劇台,https://www.litv.tv/channel/watch/litv-playout953
145 八大精彩台,https://www.litv.tv/channel/watch/4gtv-4gtv034
146 采昌影劇台,https://www.litv.tv/channel/watch/4gtv-4gtv049
147 靖天戲劇台,https://www.litv.tv/channel/watch/4gtv-4gtv058
148 靖天日本台,https://www.litv.tv/channel/watch/4gtv-4gtv047
149 靖天育樂台,https://www.litv.tv/channel/watch/4gtv-4gtv062
150 KLT-靖天國際台,https://www.litv.tv/channel/watch/4gtv-4gtv063
151 靖洋戲劇台,https://www.litv.tv/channel/watch/4gtv-4gtv045
152 靖天綜合台,https://www.litv.tv/channel/watch/4gtv-4gtv046
153 Nice TV靖天歡樂台,https://www.litv.tv/channel/watch/4gtv-4gtv054
154 靖天資訊台,https://www.litv.tv/channel/watch/4gtv-4gtv065
155 民視旅遊台,https://www.litv.tv/channel/watch/litv-ftv07
156 Smart知識台,https://www.litv.tv/channel/watch/litv-longturn19
157 愛爾達娛樂台,https://www.litv.tv/channel/watch/4gtv-4gtv070
158 中視菁采台,https://www.litv.tv/channel/watch/4gtv-4gtv064
159 中視經典台,https://www.litv.tv/channel/watch/4gtv-4gtv080
160 八大綜藝台,https://www.litv.tv/channel/watch/4gtv-4gtv039
162 客家電視台,https://www.litv.tv/channel/watch/4gtv-4gtv043
163 金光布袋戲台,https://www.litv.tv/channel/watch/litv-vchannel163
164 Focus探索新知台,https://www.litv.tv/channel/watch/litv-vchannel164
165 相聲瓦舍,https://www.litv.tv/channel/watch/litv-vchannel165
166 市井豪門,https://www.litv.tv/channel/watch/litv-vchannel166
167 燼相思,https://www.litv.tv/channel/watch/litv-vchannel167
168 我的婆婆怎麼那麼可愛,https://www.litv.tv/channel/watch/litv-vchannel168
169 賀先生的戀戀不忘,https://www.litv.tv/channel/watch/litv-vchannel169
170 大老婆的反擊,https://www.litv.tv/channel/watch/litv-vchannel170
171 一把青,https://www.litv.tv/channel/watch/litv-vchannel171
172 以家人之名,https://www.litv.tv/channel/watch/litv-vchannel172
173 漂洋過海來看你,https://www.litv.tv/channel/watch/litv-vchannel173
174 俗女養成記,https://www.litv.tv/channel/watch/litv-vchannel174
175 愛情是Beautiful，人生是Wonderful,https://www.litv.tv/channel/watch/litv-vchannel175
176 風起西州,https://www.litv.tv/channel/watch/litv-vchannel176
177 天雷一部之春花秋月,https://www.litv.tv/channel/watch/litv-vchannel177
180 電動車時代,https://www.litv.tv/channel/watch/litv-vchannel180
181 SiCAR愛車酷,https://www.litv.tv/channel/watch/litv-vchannel181
182 Auto-Online 汽車線上情報誌,https://www.litv.tv/channel/watch/litv-vchannel182
183 統哥 嗜駕Pit63,https://www.litv.tv/channel/watch/litv-vchannel183
184 CARLINK鏈車網,https://www.litv.tv/channel/watch/litv-vchannel184
185 狂人日誌,https://www.litv.tv/channel/watch/litv-vchannel185
186 Super Snow Show,https://www.litv.tv/channel/watch/litv-vchannel186
187 DR. IF fACTORY 硬核車媒,https://www.litv.tv/channel/watch/litv-vchannel187
188 玩車大麥克,https://www.litv.tv/channel/watch/litv-vchannel188
189 夢想街57號 預約你的夢想,https://www.litv.tv/channel/watch/litv-vchannel189
190 脖子解說 Mr. Neck,https://www.litv.tv/channel/watch/litv-vchannel190
194 半島國際新聞台,https://www.litv.tv/channel/watch/litv-ftv10
195 VOA美國之音,https://www.litv.tv/channel/watch/litv-ftv03
196 第1商業台,https://www.litv.tv/channel/watch/4gtv-4gtv104
197 國會頻道1台,https://www.litv.tv/channel/watch/4gtv-4gtv084
198 國會頻道2台,https://www.litv.tv/channel/watch/4gtv-4gtv085
200 蠟筆小新劇場版,https://www.litv.tv/channel/watch/litv-vchannel200
201 劉德華台,https://www.litv.tv/channel/watch/litv-vchannel201
204 周星馳台,https://www.litv.tv/channel/watch/litv-vchannel998
205 香港天王台,https://www.litv.tv/channel/watch/litv-vchannel205
207 狸貓換太子,https://www.litv.tv/channel/watch/litv-vchannel207
208 報告班長台,https://www.litv.tv/channel/watch/litv-vchannel208
211 撩星聞,https://www.litv.tv/channel/watch/litv-vchannel211
212 饕客揪愛吃,https://www.litv.tv/channel/watch/litv-vchannel212
220 TRACE Sport Stars,https://www.litv.tv/channel/watch/4gtv-4gtv077
221 智林體育台,https://www.litv.tv/channel/watch/4gtv-4gtv101
222 時尚運動X,https://www.litv.tv/channel/watch/4gtv-4gtv014
223 GINX Esports TV,https://www.litv.tv/channel/watch/4gtv-4gtv053
227 TRACE Urban,https://www.litv.tv/channel/watch/4gtv-4gtv082
228 Mezzo Live HD,https://www.litv.tv/channel/watch/4gtv-4gtv083
229 CLASSICA 古典樂,https://www.litv.tv/channel/watch/4gtv-4gtv059
230 ARIRANG阿里郎頻道,https://www.litv.tv/channel/watch/4gtv-4gtv079
240 達文西頻道,https://www.litv.tv/channel/watch/4gtv-4gtv018
241 ELTV生活英語台,https://www.litv.tv/channel/watch/litv-longturn20
242 靖洋卡通Nice Bingo,https://www.litv.tv/channel/watch/4gtv-4gtv057
243 靖天卡通台,https://www.litv.tv/channel/watch/4gtv-4gtv044
244 龍華卡通台,https://www.litv.tv/channel/watch/litv-longturn01
245 東森兒童台,https://www.litv.tv/channel/watch/litv-vchannel245
246 FOCUS快樂兒童台,https://www.litv.tv/channel/watch/litv-playout246
247 卡通明星台,https://www.litv.tv/channel/watch/litv-vchannel247
248 動畫電影台,https://www.litv.tv/channel/watch/litv-vchannel248
250 YOYO點點名,https://www.litv.tv/channel/watch/litv-vchannel250
251 天才麵包理髮師,https://www.litv.tv/channel/watch/litv-vchannel251
252 迷你特工隊 第三季,https://www.litv.tv/channel/watch/litv-vchannel252
253 喜羊羊與灰太狼之決戰次時代,https://www.litv.tv/channel/watch/litv-vchannel253
254 HELLO CARBOT衝鋒戰士,https://www.litv.tv/channel/watch/litv-vchannel254
255 HELLO CARBOT衝鋒戰士 二台,https://www.litv.tv/channel/watch/litv-vchannel255
256 新忍者哈特利,https://www.litv.tv/channel/watch/litv-vchannel256
264 湯姆貓與傑利鼠,https://www.litv.tv/channel/watch/litv-vchannel264
265 頑皮豹,https://www.litv.tv/channel/watch/litv-vchannel265
266 烤箱讀書會,https://www.litv.tv/channel/watch/litv-vchannel266
268 神奇故事屋,https://www.litv.tv/channel/watch/litv-vchannel268
270 i-Fun動漫台,https://www.litv.tv/channel/watch/litv-ftv15
280 獵人(國),https://www.litv.tv/channel/watch/litv-vchannel280
281 家庭教師HITMAN REBORN!(國),https://www.litv.tv/channel/watch/litv-vchannel281
282 新蠟筆小新(1~3季),https://www.litv.tv/channel/watch/litv-vchannel282
283 鬼滅之刃(國),https://www.litv.tv/channel/watch/litv-vchannel283
284 SPY X FAMILY 間諜家家酒,https://www.litv.tv/channel/watch/litv-vchannel284
285 葬送的芙莉蓮,https://www.litv.tv/channel/watch/litv-vchannel285
286 中華一番(國),https://www.litv.tv/channel/watch/litv-vchannel286
287 SPY X FAMILY 間諜家家酒(中文版),https://www.litv.tv/channel/watch/litv-vchannel287
288 關於我轉生變成史萊姆這檔事(國),https://www.litv.tv/channel/watch/litv-vchannel288
289 無職轉生，到了異世界就拿出真本事,https://www.litv.tv/channel/watch/litv-vchannel289
290 夏目友人帳,https://www.litv.tv/channel/watch/litv-vchannel290
291 新蠟筆小新(4~6季),https://www.litv.tv/channel/watch/litv-vchannel291
292 第一神拳,https://www.litv.tv/channel/watch/litv-vchannel292
320 2分之一強,https://www.litv.tv/channel/watch/litv-vchannel320
321 11點熱吵店,https://www.litv.tv/channel/watch/litv-vchannel321
322 萌寵明星粗乃玩,https://www.litv.tv/channel/watch/litv-vchannel322
330 野蠻遊戲：We Play,https://www.litv.tv/channel/watch/litv-vchannel330
331 效定與洧彬的甜蜜小屋,https://www.litv.tv/channel/watch/litv-vchannel331
360 娛樂百分百,https://www.litv.tv/channel/watch/litv-vchannel360
361 女人我最大,https://www.litv.tv/channel/watch/litv-vchannel361
362 醫學大聯盟,https://www.litv.tv/channel/watch/litv-vchannel362
363 醫師好辣 精選,https://www.litv.tv/channel/watch/litv-vchannel363
364 食在有健康,https://www.litv.tv/channel/watch/litv-vchannel364
373 家庭８點檔轉轉發現愛,https://www.litv.tv/channel/watch/litv-vchannel373
374 真情部落格,https://www.litv.tv/channel/watch/litv-vchannel374
376 愛+好醫生,https://www.litv.tv/channel/watch/litv-vchannel376
377 真情部落格(名人篇),https://www.litv.tv/channel/watch/litv-vchannel377
379 進擊的台灣,https://www.litv.tv/channel/watch/litv-vchannel379
380 鬼話連篇,https://www.litv.tv/channel/watch/litv-vchannel380
400 發現大絲路 南北絲路篇,https://www.litv.tv/channel/watch/litv-vchannel400
401 北緯30度,https://www.litv.tv/channel/watch/litv-vchannel401
403 33廚房,https://www.litv.tv/channel/watch/litv-vchannel403
404 台灣第一等,https://www.litv.tv/channel/watch/litv-vchannel404
405 我的非洲很有事,https://www.litv.tv/channel/watch/litv-vchannel405
406 東森旅遊玩樂誌,https://www.litv.tv/channel/watch/litv-vchannel406
407 非凡大探索,https://www.litv.tv/channel/watch/litv-vchannel407
408 發現地中海,https://www.litv.tv/channel/watch/litv-vchannel408
409 秘境不思溢,https://www.litv.tv/channel/watch/litv-vchannel409
410 食尚玩家,https://www.litv.tv/channel/watch/litv-vchannel410
411 台灣真善美,https://www.litv.tv/channel/watch/litv-vchannel411
412 台灣壹百種味道,https://www.litv.tv/channel/watch/litv-vchannel412
413 台灣部落尋奇,https://www.litv.tv/channel/watch/litv-vchannel413
416 驚奇大冒險,https://www.litv.tv/channel/watch/litv-vchannel416
420 發現大絲路 宗教巡禮篇,https://www.litv.tv/channel/watch/litv-vchannel420
421 食在有健康,https://www.litv.tv/channel/watch/litv-vchannel421
422 舒夢蘭聚焦世界全紀錄,https://www.litv.tv/channel/watch/litv-vchannel422
424 健康新煮流,https://www.litv.tv/channel/watch/litv-vchannel424
425 食尚玩家-瘋狂總部,https://www.litv.tv/channel/watch/litv-vchannel425
500 一代洪商,https://www.litv.tv/channel/watch/litv-vchannel500
501 琉璃,https://www.litv.tv/channel/watch/litv-vchannel501
502 安樂傳,https://www.litv.tv/channel/watch/litv-vchannel502
503 女醫明妃傳,https://www.litv.tv/channel/watch/litv-vchannel503
504 長歌行,https://www.litv.tv/channel/watch/litv-vchannel504
505 花青歌,https://www.litv.tv/channel/watch/litv-vchannel505
506 秦時麗人明月心,https://www.litv.tv/channel/watch/litv-vchannel506
507 山河月明,https://www.litv.tv/channel/watch/litv-vchannel507
509 君九齡,https://www.litv.tv/channel/watch/litv-vchannel509
511 冼夫人傳奇,https://www.litv.tv/channel/watch/litv-vchannel511
512 春家小姐是訟師,https://www.litv.tv/channel/watch/litv-vchannel512
513 一代匠師,https://www.litv.tv/channel/watch/litv-vchannel513
514 錦衣之下,https://www.litv.tv/channel/watch/litv-vchannel514
515 班淑傳奇,https://www.litv.tv/channel/watch/litv-vchannel515
521 大秦賦(大秦帝國之天下),https://www.litv.tv/channel/watch/litv-vchannel521
522 大明風華,https://www.litv.tv/channel/watch/litv-vchannel522
523 東宮,https://www.litv.tv/channel/watch/litv-vchannel523
524 開創盛世,https://www.litv.tv/channel/watch/litv-vchannel524
525 真命天子,https://www.litv.tv/channel/watch/litv-vchannel525
529 傳奇大掌櫃,https://www.litv.tv/channel/watch/litv-vchannel529
531 西遊記 2011,https://www.litv.tv/channel/watch/litv-vchannel531
532 哪吒降妖記,https://www.litv.tv/channel/watch/litv-vchannel532
535 軍師聯盟,https://www.litv.tv/channel/watch/litv-vchannel535
536 軍師聯盟2 虎嘯龍吟,https://www.litv.tv/channel/watch/litv-vchannel536
537 親愛的天狐大人,https://www.litv.tv/channel/watch/litv-vchannel537
538 天外飛仙,https://www.litv.tv/channel/watch/litv-vchannel538
539 花千骨,https://www.litv.tv/channel/watch/litv-vchannel539
540 沉香如屑,https://www.litv.tv/channel/watch/litv-vchannel540
541 沉香重華,https://www.litv.tv/channel/watch/litv-vchannel541
542 蜀山戰紀之劍俠傳奇,https://www.litv.tv/channel/watch/litv-vchannel542
543 步步驚心,https://www.litv.tv/channel/watch/litv-vchannel543
545 天下長河(閩南語版),https://www.litv.tv/channel/watch/litv-vchannel545
555 天涯女人心,https://www.litv.tv/channel/watch/litv-vchannel555
557 老酒館,https://www.litv.tv/channel/watch/litv-vchannel557
558 女人不哭,https://www.litv.tv/channel/watch/litv-vchannel558
559 老閨蜜,https://www.litv.tv/channel/watch/litv-vchannel559
560 裝腔啟示錄,https://www.litv.tv/channel/watch/litv-vchannel560
561 極速救援,https://www.litv.tv/channel/watch/litv-vchannel561
562 女士的品格,https://www.litv.tv/channel/watch/litv-vchannel562
563 一路朝陽,https://www.litv.tv/channel/watch/litv-vchannel563
564 一見傾心,https://www.litv.tv/channel/watch/litv-vchannel564
565 我知道我愛你,https://www.litv.tv/channel/watch/litv-vchannel565
566 小城故事多,https://www.litv.tv/channel/watch/litv-vchannel566
567 無與倫比的美麗,https://www.litv.tv/channel/watch/litv-vchannel567
568 辣媽正傳,https://www.litv.tv/channel/watch/litv-vchannel568
569 歡樂家長群,https://www.litv.tv/channel/watch/litv-vchannel569
570 甜甜的陷阱,https://www.litv.tv/channel/watch/litv-vchannel570
571 溫暖的，甜蜜的,https://www.litv.tv/channel/watch/litv-vchannel571
572 請成為我的家人,https://www.litv.tv/channel/watch/litv-vchannel572
573 星辰大海,https://www.litv.tv/channel/watch/litv-vchannel573
574 白色城堡,https://www.litv.tv/channel/watch/litv-vchannel574
575 好好生活,https://www.litv.tv/channel/watch/litv-vchannel575
579 聽說你喜歡我,https://www.litv.tv/channel/watch/litv-vchannel579
582 人間至味是清歡,https://www.litv.tv/channel/watch/litv-vchannel582
586 燦爛的轉身,https://www.litv.tv/channel/watch/litv-vchannel586
587 戀人的謊言,https://www.litv.tv/channel/watch/litv-vchannel587
588 極速悖論,https://www.litv.tv/channel/watch/litv-vchannel588
589 故鄉，別來無恙,https://www.litv.tv/channel/watch/litv-vchannel589
590 非凡醫者,https://www.litv.tv/channel/watch/litv-vchannel590
591 與你十年，予我半生,https://www.litv.tv/channel/watch/litv-vchannel591
601 世上最漂亮的女兒,https://www.litv.tv/channel/watch/litv-vchannel601
602 假面女王,https://www.litv.tv/channel/watch/litv-vchannel602
603 最佳愛情,https://www.litv.tv/channel/watch/litv-vchannel603
604 紳士與小姐,https://www.litv.tv/channel/watch/litv-vchannel604
605 白夜童話,https://www.litv.tv/channel/watch/litv-vchannel605
607 善德女王,https://www.litv.tv/channel/watch/litv-vchannel607
608 朝鮮律師,https://www.litv.tv/channel/watch/litv-vchannel608
610 綠洲,https://www.litv.tv/channel/watch/litv-vchannel610
611 7人的逃脫,https://www.litv.tv/channel/watch/litv-vchannel611
612 監獄醫生,https://www.litv.tv/channel/watch/litv-vchannel612
613 榴蓮小姐,https://www.litv.tv/channel/watch/litv-vchannel613
614 韓國小姐,https://www.litv.tv/channel/watch/litv-vchannel614
615 我的燦爛人生(國語配音),https://www.litv.tv/channel/watch/litv-vchannel615
616 結過一次了(國語配音),https://www.litv.tv/channel/watch/litv-vchannel616
617 人偶之家(國語配音),https://www.litv.tv/channel/watch/litv-vchannel617
618 優雅的母女(國語配音),https://www.litv.tv/channel/watch/litv-vchannel618
622 婚禮大捷,https://www.litv.tv/channel/watch/litv-vchannel622
623 我的野蠻王妃,https://www.litv.tv/channel/watch/litv-vchannel623
624 先熱情地打掃吧,https://www.litv.tv/channel/watch/litv-vchannel624
625 追蹤者,https://www.litv.tv/channel/watch/litv-vchannel625
626 白晝之月,https://www.litv.tv/channel/watch/litv-vchannel626
629 木偶的季節,https://www.litv.tv/channel/watch/litv-vchannel629
661 你是我的氧氣,https://www.litv.tv/channel/watch/litv-vchannel661
680 美麗戰場(國語配音),https://www.litv.tv/channel/watch/litv-vchannel680
700 黃金歲月,https://www.litv.tv/channel/watch/litv-vchannel700
703 艋舺燿輝,https://www.litv.tv/channel/watch/litv-vchannel703
704 多情城市,https://www.litv.tv/channel/watch/litv-vchannel704
705 新兵日記之特戰英雄,https://www.litv.tv/channel/watch/litv-vchannel705
706 新兵日記,https://www.litv.tv/channel/watch/litv-vchannel706
707 女兵日記,https://www.litv.tv/channel/watch/litv-vchannel707
716 就想賴著妳,https://www.litv.tv/channel/watch/litv-vchannel716
721 台灣靈異事件,https://www.litv.tv/channel/watch/litv-vchannel721
722 藍色水玲瓏,https://www.litv.tv/channel/watch/litv-vchannel722
725 苦力,https://www.litv.tv/channel/watch/litv-vchannel725
726 茶金,https://www.litv.tv/channel/watch/litv-vchannel726
727 麻醉風暴,https://www.litv.tv/channel/watch/litv-vchannel727
729 四樓的天堂,https://www.litv.tv/channel/watch/litv-vchannel729
730 你的婚姻不是你的婚姻,https://www.litv.tv/channel/watch/litv-vchannel730
731 你的孩子不是你的孩子,https://www.litv.tv/channel/watch/litv-vchannel731
743 廉政英雄,https://www.litv.tv/channel/watch/litv-vchannel743
764 春天後母心,https://www.litv.tv/channel/watch/litv-vchannel764
765 春天父母心,https://www.litv.tv/channel/watch/litv-vchannel765
766 飛龍在天,https://www.litv.tv/channel/watch/litv-vchannel766
800 黑金丑島君,https://www.litv.tv/channel/watch/litv-vchannel800
801 雙面姊妹,https://www.litv.tv/channel/watch/litv-vchannel801
803 獨活女子的守則 3,https://www.litv.tv/channel/watch/litv-vchannel803
804 Black familia-新堂家的復仇,https://www.litv.tv/channel/watch/litv-vchannel804
805 禁果-那個不能XX的世界,https://www.litv.tv/channel/watch/litv-vchannel805
861 (測)Focus歡樂綜合台,https://www.litv.tv/channel/watch/litv-fast1223
862 (測)Focus風采戲劇台,https://www.litv.tv/channel/watch/litv-fast1224
863 (測)黃金八點檔,https://www.litv.tv/channel/watch/litv-fast1225
900 好消息2台,https://www.litv.tv/channel/watch/litv-ftv17
901 大衛鮑森新約縱覽,https://www.litv.tv/channel/watch/litv-vchannel901
902 大衛鮑森舊約縱覽,https://www.litv.tv/channel/watch/litv-vchannel902
903 葉光明講座,https://www.litv.tv/channel/watch/litv-vchannel903
904 大衛鮑森講座,https://www.litv.tv/channel/watch/litv-vchannel904
910 天堂敬拜,https://www.litv.tv/channel/watch/litv-vchannel910
911 經典音樂河,https://www.litv.tv/channel/watch/litv-vchannel911
912 心靈音樂會,https://www.litv.tv/channel/watch/litv-vchannel912
920 有聲聖經 新約,https://www.litv.tv/channel/watch/litv-vchannel920
921 有聲聖經 舊約,https://www.litv.tv/channel/watch/litv-vchannel921
923 恩典365,https://www.litv.tv/channel/watch/litv-vchannel923
928 主日崇拜 台北靈糧堂,https://www.litv.tv/channel/watch/litv-vchannel928
930 蒙福人生（中文配音）,https://www.litv.tv/channel/watch/litv-vchannel930
931 生命的贏家,https://www.litv.tv/channel/watch/litv-vchannel931
932 豐盛人生,https://www.litv.tv/channel/watch/litv-vchannel932
933 生命的觸動,https://www.litv.tv/channel/watch/litv-vchannel933
934 生命的觸動（中文配音）,https://www.litv.tv/channel/watch/litv-vchannel934
935 特會精選,https://www.litv.tv/channel/watch/litv-vchannel935
936 蒙福人生,https://www.litv.tv/channel/watch/litv-vchannel936
937 生命的贏家（中文配音）,https://www.litv.tv/channel/watch/litv-vchannel937
938 豐盛人生（中文配音）,https://www.litv.tv/channel/watch/litv-vchannel938
940 空中主日學,https://www.litv.tv/channel/watch/litv-vchannel940
941 關鍵三十,https://www.litv.tv/channel/watch/litv-vchannel941
942 共享觀點,https://www.litv.tv/channel/watch/litv-vchannel942
943 福氣人生,https://www.litv.tv/channel/watch/litv-vchannel943
944 劉三講古,https://www.litv.tv/channel/watch/litv-vchannel944
945 客家新事講台系列,https://www.litv.tv/channel/watch/litv-vchannel945
946 空中聖經學院,https://www.litv.tv/channel/watch/litv-vchannel946
947 蒙福卡通台,https://www.litv.tv/channel/watch/litv-vchannel947

yeslivetv(翻),#genre#
parse=1
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
民視第一台,https://yeslivetv.com/channels/ftvone/
民視台灣台,https://yeslivetv.com/channels/ftvhd/
民視HD,https://yeslivetv.com/channels/ftv-hd/
中視HD,https://yeslivetv.com/channels/ctv-hd/
中視經典台,https://yeslivetv.com/channels/ctv-classic/
華視,https://yeslivetv.com/channels/cts-hd/
三立綜合台,https://yeslivetv.com/channels/set/
客家電視台,https://yeslivetv.com/channels/hakkatv/
八大綜合台(CH28),https://yeslivetv.com/channels/gtv-ch28/
中視菁采台,https://yeslivetv.com/channels/ctv-bravo/
TVBS精采台,https://yeslivetv.com/channels/tvbs-e/
愛爾達娛樂台,https://yeslivetv.com/channels/eltatv-entertainment/
